IHID,ProgramID,ProgramName,GovernmentName,GovernmentType,CensusID,Census Type,AddressStreet,City,County,State,name,Government Address: Zip,Program Applicable Areas,Year Program Adopted,Year Program Updated,3rd Party Managing Entity,Data Entry Year,Unit- vs. Fee-based Program?,Program Type and Development Type,Program Type,Development Type,(Ownership) Resale Restriction Exists?,(Ownership) Resale Formula Exists?,(Rental) Rent restriction Exists?,(Rental) Rent restriction Exists?,(Rental) Compliance Monitoring Exists?,(Rental) Timing of Income Certification,(Rental) Noncompliance Remedies/Enforcement,"""Right of 1st Refusal"" Exists?",Incentive,Affordable Housing Compliance Option,Minimum Project Size,Minimum Set-aside,Any Set-aside Requirement At 20% Or More?,Highest Income Served,Lowest Income Served,(Rental) Income Requirement Type,(Rental) Single Income Requirement Detail,(Rental) Multiple Tiers of Income Targeting Detail,(Ownership) Income Requirement Type,(Ownership) Single Income Requirement Detail,(Ownership) Multiple Tiers of Income Targeting Detail,(Rental) Term of Affordability,(Rental) Affordability Term Restart?,(Ownership) Term of Affordability,(Ownership) Affordability Term Restart?,TotalAffordableRentalUnits,TotalAffordableOwnershipUnits,TotalAffordableUnits,In-Lieu Fees,Program Type,Commercial Development Type,Office Development Fee Rate,Industrial Development Fee Rate,Retail/Service Development Fee Rate,Hotel Development Fee Rate,R&D Fee Rate,Commercial Development Exemptions,Residential Development Type,Rental Fee Rate,Single Family For-Sale Fee Rate,Multifamily For-Sale Fee Rate,Townhouse For-Sale Fee Rate,Alternative Compliance Option,Fee Amount - Residential Development,Fees Amount - Commercial Development,Total Affordable Units
1002,"Kenmore, WA: Affordable Housing Requirement",Affordable Housing Requirement,Kenmore,Town or city,1600000US5335170,Place,"18120 68th Avenue NE, P.O. Box 82607, Kenmore, WA 98028",Kenmore,King,WA,Washington,98028,"Certain zones, neighborhoods, or districts",2003,2014,A Regional Coalition for Housing (ARCH),2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Annually,"Notice of violation and opportunity to cure, injunction/forced compliance",Yes,Fee reduction/waiver,"On-site units, off-site units",20 units,25% of total project units,Yes,85% AMI,85% AMI,Single income targeting requirement,0 - 85% AMI,,Single income targeting requirement,0 - 85% AMI,,Life of building,,50 years,No,0,0,0,,,,,,,,,,,,,,,,,,
1004,"Kenmore, WA: Residential Density Incentives",Residential Density Incentives,Kenmore,Town or city,1600000US5335170,Place,"18120 68th Avenue NE, P.O. Box 82607, Kenmore, WA 98028",Kenmore,King,WA,Washington,98028,"Certain zones, neighborhoods, or districts",2003,2014,A Regional Coalition for Housing (ARCH),2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Annually,"Notice of violation and opportunity to cure, injunction/forced compliance",Yes,"Density bonus, fee reduction/waiver","On-site units, off-site units",,The set-aside requirement varies.,,90% AMI,90% AMI,Multiple options of income targeting requirement,,,Multiple options of income targeting requirement,,,Life of building,,30 years,No,0,0,0,,,,,,,,,,,,,,,,,,
1005,"Kenmore, WA: Transit Oriented Development Density Bonus Program",Transit Oriented Development Density Bonus Program,Kenmore,Town or city,1600000US5335170,Place,"18120 68th Avenue NE, P.O. Box 82607, Kenmore, WA 98028",Kenmore,King,WA,Washington,98028,"Certain zones, neighborhoods, or districts",2015,,A Regional Coalition for Housing (ARCH),2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Annually,"Notice of violation and opportunity to cure, injunction/forced compliance",Yes,"Density bonus, other zoning variance, fee reduction/waiver, unit concessions","On-site units, off-site units",,The set-aside requirement varies.,No,90% AMI,90% AMI,Multiple options of income targeting requirement,,,Multiple options of income targeting requirement,,,Life of building,,50 years,No,0,0,0,,,,,,,,,,,,,,,,,,
1007,"Kirkland, WA: Multifamily Tax Exemption (MFTE)",Multifamily Tax Exemption (MFTE),Kirkland,Town or city,1600000US5335940,Place,"16225 NE 87th Street, Suite A-3, Redmond, WA 98052",Redmond,King,WA,Washington,98052,"Certain zones, neighborhoods, or districts",2004,2018,A Regional Coalition for Housing (ARCH),2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Annually,"Notice of violation and opportunity to cure, financial penalty",Yes,Tax relief/abatement,"On-site units, off-site units, in-lieu fee",4 units,10% of total project units. And the set-aside requirement varies.,Yes,90% AMI,70% AMI,Multiple options of income targeting requirement,,,Multiple options of income targeting requirement,,,Life of building,,50 years,No,0,98,98,$0 ,,,,,,,,,,,,,,,,,
1008,"Mercer Island, WA: Multifamily Housing Tax Exemption",Multifamily Housing Tax Exemption,Mercer Island,Town or city,1600000US5345005,Place,"16225 NE 87th St, Suite A-3, Redmond, WA 98052",Redmond,King,WA,Washington,98052,"Certain zones, neighborhoods, or districts",2011,,A Regional Coalition for Housing (ARCH),2019,Traditional Inclusionary Housing,"Voluntary program, rental development only",Voluntary program,Rental only,,,,Yes,Yes,Annually,"Notice of violation and opportunity to cure, financial penalty, injunction/forced compliance",Yes,Tax relief/abatement,On-site units,4 units,5% of total project units. And the set-aside requirement varies.,Yes,,,Multiple options of income targeting requirement,,,,,,Life of building,,,,0,,,,,,,,,,,,,,,,,,,,
1014,"SeaTac, WA: Multifamily Tax Exemption (MFTE)",Multifamily Tax Exemption (MFTE),SeaTac,Town or city,1600000US5362288,Place,"4800 South 188th Street, SeaTac, WA 98188",SeaTac,King,WA,Washington,98188,"Certain zones, neighborhoods, or districts",2008,,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,No,No,Yes,Yes,Annually,Financial penalty,No,Tax relief/abatement,On-site units,20 units,20% of total project units. And the set-aside requirement varies.,Yes,150% AMI,150% AMI,Single income targeting requirement,0 - 150% AMI,,Single income targeting requirement,0 - 150% AMI,,12 years,No,12 years,No,0,0,0,,,,,,,,,,,,,,,,,,
1017,"Woodinville, WA: Multifamily Tax Exemption (MFTE)",Multifamily Tax Exemption (MFTE),Woodinville,Town or city,1600000US5379590,Place,"16225 NE 87th St, Suite A-3, Redmond, WA 98034",Redmond,King,WA,Washington,98034,"Certain zones, neighborhoods, or districts",2018,,A Regional Coalition for Housing (ARCH),2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Annually,"Notice of violation and opportunity to cure, financial penalty, injunction/forced compliance",No,Tax relief/abatement,On-site units,4 units,8% of total project units. And the set-aside requirement varies.,Yes,,,Multiple options of income targeting requirement,,,Multiple options of income targeting requirement,,,Life of building,,50 years,No,0,0,0,,,,,,,,,,,,,,,,,,
359,"Town of Acton, MA: Section 4.4 Affordable housing Incentives and Overlay District",Section 4.4 Affordable housing Incentives and Overlay District,Town of Acton,Town or city,0600000US2501700380,County Subdivision,"472 Main Street, Acton, MA 01720",Acton,Middlesex,MA,Massachusetts,1720,"Certain zones, neighborhoods, or districts",1990,,Regional Housing Services Office (Services provided through an Intermunicipal Agreement with 8 other towns,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,"On-site units, off-site units, in-lieu fee, donate land",6 acres (parcel),20% of total project units. And the set-aside requirement varies.,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,1,3,4,,,,,,,,,,,,,,,,,,
421,"Town of Georgetown, MA: Section 71 Inclusionary Housing",Section 71 Inclusionary Housing,Town of Georgetown,Town or city,0600000US2500925625,County Subdivision,"1 Library Street, Georgetown, MA 01833",Georgetown,Essex,MA,Massachusetts,1833,Entire jurisdiction,1990,2017,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,"On-site units, off-site units, in-lieu fee",6 units,10% of total project units. And the set-aside requirement varies.,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,1,1,2,,,,,,,,,,,,,,,,,,
479,"Town of Needham, MA: Section 3.8 Needham Center Overlay District",Section 3.8 Needham Center Overlay District,Town of Needham,Town or city,0600000US2502144105,County Subdivision,"1471 Highland Avenue, Needham, MA 02492",Needham,Norfolk,MA,Massachusetts,2492,"Certain zones, neighborhoods, or districts",2009,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,On-site units,6 units,10% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,1,0,1,,,,,,,,,,,,,,,,,,
509,"Town of Scituate, MA: 530.4 Affordable Accessory Dwelling Units",530.4 Affordable Accessory Dwelling Units,Town of Scituate,Town or city,0600000US2502360330,County Subdivision,"600 Chief Justice Cushing Highway, Scituate, MA 02066",Scituate,Plymouth,MA,Massachusetts,2066,Entire jurisdiction,,,None,2019,Traditional Inclusionary Housing,"Mandatory program, rental development only",Mandatory program,Rental only,,,,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,On-site units,,,,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,,,1,,1,,,,,,,,,,,,,,,,,,
937,"Village of Port Chester, NY: Inclusionary Zoning/Affordable Housing",Inclusionary Zoning/Affordable Housing,Village of Port Chester,Town or city,1600000US3659223,Place,"222 Grace Church Street, Port Chester, NY 10573",Port Chester,Westchester,NY,New York,10573,"Certain zones, neighborhoods, or districts",2004,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,No,No,Yes,Yes,,,No,None,On-site units,10 units,10% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,In perpetuity,,In perpetuity,,1,0,1,,,,,,,,,,,,,,,,,,
600,"Exeter, NH: Affordable Density Bonus",Affordable Density Bonus,Exeter,Town or city,0600000US4400925300,County Subdivision,"10 Front Street, Exeter, NH 03833",Exeter,Rockingham,NH,New Hampshire,3833,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",1987,2017,Janet Smith,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure, financial penalty, injunction/forced compliance",No,Density bonus,On-site units,,20% of total project units,Yes,120% AMI,80% AMI,Multiple tiers of income targeting,,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 25% LI (51-80% AMI), 75% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)",Multiple tiers of income targeting,,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 25% LI (51-80% AMI), 75% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)",30 years,Yes,30 years,Yes,2,18,20,,,,,,,,,,,,,,,,,,
519,"Town of Stoughton, MA: Section 9.3 Stoughton Center Mixed Use Overlay District",Section 9.3 Stoughton Center Mixed Use Overlay District,Town of Stoughton,Town or city,0600000US2502167945,County Subdivision,"10 Pearl Street, Stoughton, MA 02072",Stoughton,Norfolk,MA,Massachusetts,2072,"Certain zones, neighborhoods, or districts",2006,2010,MassHousing,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,On-site units,5 units,10% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,4,,4,,,,,,,,,,,,,,,,,,
953,"Barrington, RI: Mandatory Inclusionary Zoning",Mandatory Inclusionary Zoning,Barrington,Town or city,0600000US4400105140,County Subdivision,"283 County Road, Barrington, RI 02806",Barrington,Bristol,RI,Rhode Island,2806,Entire jurisdiction,2007,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,,,Yes,Yes,,"Notice of violation and opportunity to cure, injunction/forced compliance",No,"Density bonus, other zoning variance, expedited permitting, unit concessions","On-site units, off-site units, renovate unregulated units",3 units,20% of total project units,Yes,120% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 120% AMI,,30 years,No,30 years,No,5,2,7,,,,,,,,,,,,,,,,,,
447,"Town of Kingston, MA: 6.12. Inclusionary Housing",6.12. Inclusionary Housing,Town of Kingston,Town or city,0600000US2502333220,County Subdivision,"26 Evergreen Street, Kingston, MA 02364",Kingston,Plymouth,MA,Massachusetts,2364,Entire jurisdiction,2003,2018,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,"Density bonus, other zoning variance","On-site units, off-site units, rehab regulated units, in-lieu fee, donate land",6 units,10% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,6,12,18,,,,,,,,,,,,,,,,,,
250,"Darien, CT: Inclusionary Zoning--Section 580 DZR",Inclusionary Zoning--Section 580 DZR,Darien,Town or city,0600000US0900118850,County Subdivision,"2 Renshaw Road, Darien, CT 06820",Darien,Fairfield,CT,Connecticut,6820,Entire jurisdiction,2009,2017,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Annually,,No,"Density bonus, other zoning variance","On-site units, off-site units, in-lieu fee",5 units,12% of total project units,No,,,Multiple tiers of income targeting,,,Multiple tiers of income targeting,,,In perpetuity,,In perpetuity,,7,0,7,"$362,000 ",,,,,,,,,,,,,,,,,
478,"Town of Needham, MA: Section 3.12 Elder Services District",Section 3.12 Elder Services District,Town of Needham,Town or city,0600000US2502144105,County Subdivision,"1471 Highland Avenue, Needham, MA 02492",Needham,Norfolk,MA,Massachusetts,2492,"Certain zones, neighborhoods, or districts",2010,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,On-site units,10 units,10% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,7,0,7,,,,,,,,,,,,,,,,,,
235,"Carbondale, CO: Community Housing Inclusionary Requirements",Community Housing Inclusionary Requirements,Carbondale,Town or city,1600000US0812045,Place,"Carbondale Town Hall, 511 Colorado Avenue, Carbondale, CO 81623",Carbondale,Garfield,CO,Colorado,81623,Entire jurisdiction,2001,2016,Garfield County Housing Authority,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure, revocation/denial/suspension of permits",Yes,Fee reduction/waiver,On-site units,5 units,20% of total project units,Yes,,,Multiple tiers of income targeting,,,Multiple tiers of income targeting,,,In perpetuity,,In perpetuity,,8,140,148,,,,,,,,,,,,,,,,,,
427,"Town of Groton, MA: Flexible Development",Flexible Development,Town of Groton,Town or city,0600000US2501727480,County Subdivision,"173 Main Street, Groton, MA 01450",Groton,Middlesex,MA,Massachusetts,1450,Entire jurisdiction,1988,2003,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,On-site units,10 units,15% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,9,16,25,,,,,,,,,,,,,,,,,,
130,"Mill Valley, CA: Inclusionary Housing - Rental",Inclusionary Housing - Rental,Mill Valley,Town or city,1600000US0647710,Place,26 Corte Madera Avenue,Mill Valley,Marin,CA,California,94960,Entire jurisdiction,1988,2018,Marin Housing Authority,2018,Traditional Inclusionary Housing,"Mandatory program, rental development only",Mandatory program,Rental only,,,,Yes,Yes,Annually,Notice of violation and opportunity to cure,Yes,"Density bonus, fee reduction/waiver, unit concessions","On-site units, off-site units",4 units,25% of total project units,Yes,120% AMI,80% AMI,Multiple tiers of income targeting,,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 52% LI (51-80% AMI), 48% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)",,,,55 years,,,,10,,10,,,,,,,,,,,,,,,,,,
